data,hora,lumens
2024-09-30T00:00:00-03:00,14:00,170
2024-09-30T00:00:00-03:00,16:00,100
2024-09-30T00:00:00-03:00,17:00,40
2024-10-01T00:00:00-03:00,7:00,40
2024-10-01T00:00:00-03:00,8:00,70
2024-10-01T00:00:00-03:00,09:00,75
2024-10-01T00:00:00-03:00,10:00,85
2024-10-01T00:00:00-03:00,11:00,75
2024-10-01T00:00:00-03:00,13:00,110
2024-10-01T00:00:00-03:00,14:00,75
2024-10-01T00:00:00-03:00,15:00,100
2024-10-01T00:00:00-03:00,16:00,110
2024-10-01T00:00:00-03:00,17:00,30
2024-10-02T00:00:00-03:00,7:00,40
2024-10-02T00:00:00-03:00,8:00,70
2024-10-03T00:00:00-03:00,10:00,75
